City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,60.82,48,84,9.37,AU,2024-04-05
1,ancud,-41.8697,-73.8203,56.61,75,47,6.26,CL,2024-04-05
2,mahibadhoo,3.7833,72.9667,84.74,73,65,6.29,MV,2024-04-05
3,petropavlovsk-kamchatsky,53.0452,158.6483,23.59,68,40,2.24,RU,2024-04-05
4,blackmans bay,-43.0167,147.3167,50.52,94,2,5.88,AU,2024-04-05
5,thompson,55.7435,-97.8558,50.16,25,75,5.75,CA,2024-04-05
6,faya-largeau,17.9257,19.1043,89.01,9,3,12.59,TD,2024-04-05
7,puerto natales,-51.7236,-72.4875,59.45,44,75,21.85,CL,2024-04-05
8,punta del este,-34.9667,-54.95,75.31,74,20,10.36,UY,2024-04-05
9,port-aux-francais,-49.35,70.2167,43.56,93,49,25.55,TF,2024-04-05
10,grytviken,-54.2811,-36.5092,37.02,87,100,7.81,GS,2024-04-05
11,lebu,-37.6167,-73.65,60.03,72,0,12.88,CL,2024-04-05
12,bangassou,4.7413,22.8184,74.8,83,100,2.15,CF,2024-04-05
13,mega,4.05,38.3,62.35,90,31,8.08,ET,2024-04-05
14,itoman,26.1247,127.6694,72.37,96,100,6.91,JP,2024-04-05
15,rio grande,-32.035,-52.0986,78.91,53,0,9.46,BR,2024-04-05
16,tromso,69.6496,18.957,23.02,50,0,12.66,NO,2024-04-05
17,kamina,-8.7386,24.9906,67.1,95,91,3.04,CD,2024-04-05
18,torit,4.4133,32.5678,77.5,70,66,3.47,SS,2024-04-05
19,hamilton,39.1834,-84.5333,48.11,71,100,10.36,US,2024-04-05
20,edinburgh of the seven seas,-37.0676,-12.3116,65.93,86,100,23.15,SH,2024-04-05
21,isafjordur,66.0755,-23.124,25.65,69,83,8.99,IS,2024-04-05
22,castillos,-34.1667,-53.8333,71.17,58,0,7.92,UY,2024-04-05
23,santiago del torno,-17.9833,-63.3833,92.16,81,100,4.41,BO,2024-04-05
24,crane,31.3974,-102.3501,81.84,12,4,27.34,US,2024-04-05
25,markovo,57.3206,107.0881,14.31,97,100,2.93,RU,2024-04-05
26,puerto ayora,-0.7393,-90.3518,84.16,90,100,8.01,EC,2024-04-05
27,kosciusko,33.0576,-89.5876,64.02,33,0,7.2,US,2024-04-05
28,callao,-12.0667,-77.15,77.29,69,0,14.97,PE,2024-04-05
29,nelson bay,-32.7167,152.15,68.11,97,92,5.01,AU,2024-04-05
30,vorgashor,67.5833,63.95,-1.75,90,100,18.32,RU,2024-04-05
31,yellowknife,62.456,-114.3525,30.42,73,11,18.01,CA,2024-04-05
32,teplyk,48.6657,29.745,51.96,81,50,4.29,UA,2024-04-05
33,waitangi,-43.9535,-176.5597,51.82,80,100,1.99,NZ,2024-04-05
34,port elizabeth,-33.918,25.5701,63.32,71,100,3.0,ZA,2024-04-05
35,bethel,41.3712,-73.414,48.54,53,100,12.66,US,2024-04-05
36,iqaluit,63.7506,-68.5145,17.33,92,100,3.44,CA,2024-04-05
37,atafu village,-8.5421,-172.5159,83.86,71,94,2.8,TK,2024-04-05
38,flying fish cove,-10.4217,105.6791,78.48,94,100,1.14,CX,2024-04-05
39,ushuaia,-54.8,-68.3,56.86,38,20,10.36,AR,2024-04-05
40,aykhal,66.0,111.5,-8.59,96,100,17.83,RU,2024-04-05
41,utrik,11.2278,169.8474,80.13,77,100,19.39,MH,2024-04-05
42,bilibino,68.0546,166.4372,-11.67,97,37,3.62,RU,2024-04-05
43,sitka,57.0531,-135.33,42.69,75,100,13.8,US,2024-04-05
44,nellore,14.4333,79.9667,79.39,60,13,8.77,IN,2024-04-05
45,adamstown,-25.066,-130.1015,71.47,63,100,6.6,PN,2024-04-05
46,abalak,58.1286,68.5944,49.35,73,6,8.19,RU,2024-04-05
47,port lincoln,-34.7333,135.8667,56.14,82,1,6.55,AU,2024-04-05
48,sinabang,2.4803,96.3801,80.02,86,95,4.29,ID,2024-04-05
49,invercargill,-46.4,168.35,51.03,92,100,8.99,NZ,2024-04-05
50,manhattan,40.7834,-73.9662,49.89,46,75,19.57,US,2024-04-05
51,portland,45.5234,-122.6762,50.94,74,75,5.01,US,2024-04-05
52,kodiak,57.79,-152.4072,38.71,60,0,17.27,US,2024-04-05
53,badger,64.8,-147.5333,34.38,89,100,0.0,US,2024-04-05
54,papao,-17.75,-149.55,85.68,78,100,9.1,PF,2024-04-05
55,la sarre,48.8002,-79.1996,39.54,80,100,14.05,CA,2024-04-05
56,tiksi,71.6872,128.8694,-19.46,100,100,3.94,RU,2024-04-05
57,fale old settlement,-9.3852,-171.2468,84.04,73,100,5.44,TK,2024-04-05
58,greenwood,34.1668,-82.1165,63.63,40,0,6.91,US,2024-04-05
59,puerto real,36.5282,-6.1901,73.56,38,0,18.41,ES,2024-04-05
60,patterson,37.4716,-121.1297,49.01,84,100,5.99,US,2024-04-05
61,kangding,30.0513,101.9603,45.21,96,100,2.86,CN,2024-04-05
62,tolanaro,-25.0319,46.9987,73.09,91,5,9.71,MG,2024-04-05
63,hadibu,12.65,54.0333,80.29,71,2,6.51,YE,2024-04-05
64,coquimbo,-29.9533,-71.3436,65.28,73,0,6.71,CL,2024-04-05
65,rio negrinho,-26.2544,-49.5183,74.95,45,55,3.44,BR,2024-04-05
66,turpan,42.9333,89.1667,58.89,25,58,4.9,CN,2024-04-05
67,springs,-26.25,28.4,62.33,72,100,3.0,ZA,2024-04-05
68,hawaiian paradise park,19.5933,-154.9731,72.03,87,20,8.05,US,2024-04-05
69,albany,42.6001,-73.9662,44.58,67,100,10.0,US,2024-04-05
70,constantia,44.1833,28.65,52.7,65,100,8.46,RO,2024-04-05
71,saipan,15.1355,145.701,79.5,78,20,13.8,MP,2024-04-05
72,udachny,66.4167,112.4,-2.56,93,100,17.87,RU,2024-04-05
73,quepos,9.4236,-84.1652,87.24,64,42,8.93,CR,2024-04-05
74,dawesville,30.9224,-84.0091,77.16,28,0,10.0,US,2024-04-05
75,hotan,37.0997,79.9269,55.99,22,53,3.29,CN,2024-04-05
76,carnarvon,-24.8667,113.6333,76.05,63,0,15.26,AU,2024-04-05
77,kampong kadok,6.0,102.25,72.25,95,70,2.62,MY,2024-04-05
78,zhezqazghan,47.7833,67.7667,51.08,42,10,6.87,KZ,2024-04-05
79,bredasdorp,-34.5322,20.0403,60.42,68,100,14.7,ZA,2024-04-05
80,nasiriyah,31.0521,46.261,84.78,17,0,6.85,IQ,2024-04-05
81,brookings,44.3114,-96.7984,57.11,40,0,17.27,US,2024-04-05
82,coatesville,39.9832,-75.8238,51.49,66,75,17.27,US,2024-04-05
83,krasnokamensk,50.0979,118.0369,30.92,47,4,20.27,RU,2024-04-05
84,ribeira grande,38.5167,-28.7,61.2,63,40,25.32,PT,2024-04-05
85,puerto armuelles,8.2833,-82.8667,89.58,75,57,1.01,PA,2024-04-05
86,jamestown,42.097,-79.2353,36.55,79,100,12.66,US,2024-04-05
87,yuzhno-kurilsk,44.0306,145.8556,33.37,91,100,8.66,RU,2024-04-05
88,bambanglipuro,-7.95,110.2833,78.31,83,100,1.79,ID,2024-04-05
89,simrishamn,55.5565,14.3504,52.36,97,100,27.36,SE,2024-04-05
90,muhos,64.808,25.9931,24.89,93,100,10.13,FI,2024-04-05
91,palikir - national government center,6.9248,158.1611,81.36,77,30,18.92,FM,2024-04-05
92,ust-nera,64.5667,143.2,-5.76,97,47,3.2,RU,2024-04-05
93,port mathurin,-19.6833,63.4167,80.24,80,100,17.02,MU,2024-04-05
94,longyearbyen,78.2186,15.6401,-5.96,65,20,0.0,SJ,2024-04-05
95,huanren,41.2647,125.3667,41.72,56,1,4.74,CN,2024-04-05
96,whitehorse,60.7161,-135.0538,33.1,86,100,11.99,CA,2024-04-05
97,progreso,21.2833,-89.6667,91.11,72,5,15.82,MX,2024-04-05
98,desenzano del garda,45.468,10.534,62.11,72,89,5.75,IT,2024-04-05
99,ilulissat,69.2167,-51.1,28.42,69,75,5.75,GL,2024-04-05
100,usogorsk,63.4106,48.6872,6.67,94,18,5.08,RU,2024-04-05
101,lerwick,60.1545,-1.1494,41.0,69,100,19.91,GB,2024-04-05
102,fort bragg,35.139,-79.006,64.81,33,20,16.11,US,2024-04-05
103,hithadhoo,-0.6,73.0833,79.54,88,100,9.31,MV,2024-04-05
104,saint-joseph,-21.3667,55.6167,77.38,87,25,1.32,RE,2024-04-05
105,gonzalez,30.5816,-87.2914,78.82,32,0,6.91,US,2024-04-05
106,cape canaveral,28.4058,-80.6048,82.47,40,0,13.8,US,2024-04-05
107,stanley,54.868,-1.6985,54.28,76,20,18.41,GB,2024-04-05
108,galle,6.0367,80.217,80.82,83,39,4.18,LK,2024-04-05
109,luderitz,-26.6481,15.1594,62.04,70,100,19.98,NA,2024-04-05
110,laughlin,35.1678,-114.573,64.9,21,0,12.66,US,2024-04-05
111,keflavik,64.0049,-22.5624,37.83,65,75,10.36,IS,2024-04-05
112,barwadih,23.8333,84.1167,81.09,24,85,4.43,IN,2024-04-05
113,dwarka,22.2394,68.9678,80.28,66,100,11.92,IN,2024-04-05
114,topolobampo,25.6,-109.05,75.11,57,75,19.57,MX,2024-04-05
115,punta arenas,-53.15,-70.9167,55.51,58,75,33.38,CL,2024-04-05
116,nuuk,64.1835,-51.7216,30.81,69,0,13.8,GL,2024-04-05
117,arraial do cabo,-22.9661,-42.0278,82.26,69,40,9.22,BR,2024-04-05
118,new ulm,44.3125,-94.4605,57.43,33,0,9.22,US,2024-04-05
119,ciudad lazaro cardenas,17.9583,-102.2,83.32,37,1,10.36,MX,2024-04-05
120,susuman,62.7833,148.1667,-12.01,100,94,1.01,RU,2024-04-05
121,inarajan village,13.2736,144.7484,79.77,89,100,18.72,GU,2024-04-05
122,kolonia town,6.964,158.206,82.44,77,29,18.99,FM,2024-04-05
123,hammerfest,70.6634,23.6821,19.85,73,0,3.44,NO,2024-04-05
124,lompoc,34.6391,-120.4579,54.79,86,100,12.66,US,2024-04-05
125,manati,18.4275,-66.4921,89.19,81,98,6.46,PR,2024-04-05
126,port alfred,-33.5906,26.891,62.19,82,100,9.42,ZA,2024-04-05
127,kapa'a,22.0752,-159.319,75.52,74,75,21.85,US,2024-04-05
128,khuzdar,27.7384,66.6434,69.58,17,21,5.48,PK,2024-04-05
129,west island,-12.1568,96.8225,80.58,89,40,9.22,CC,2024-04-05
130,sao gabriel da cachoeira,-0.1303,-67.0892,80.13,95,100,4.99,BR,2024-04-05
131,ingeniero jacobacci,-41.3427,-69.5448,67.84,23,0,14.14,AR,2024-04-05
132,holualoa,19.6228,-155.9522,72.77,87,75,6.91,US,2024-04-05
133,mata-utu,-13.2816,-176.1745,83.16,80,100,13.33,WF,2024-04-05
134,qaqortoq,60.7167,-46.0333,35.22,61,1,5.35,GL,2024-04-05
135,sao joao da barra,-21.6403,-41.0511,84.29,80,0,11.07,BR,2024-04-05
136,najran,17.4924,44.1277,77.65,56,100,2.84,SA,2024-04-05
137,avarua,-21.2078,-159.775,78.85,89,100,5.75,CK,2024-04-05
138,muriti,-1.9833,32.9167,73.54,80,99,9.37,TZ,2024-04-05
139,kavaratti,10.5669,72.642,84.09,70,100,11.41,IN,2024-04-05
140,ma'rib,15.4591,45.3253,83.05,35,78,7.61,YE,2024-04-05
141,brisas de zicatela,15.8369,-97.0419,84.72,70,0,11.5,MX,2024-04-05
142,senanga,-16.1167,23.2667,70.99,70,99,3.49,ZM,2024-04-05
143,quellon,-43.1167,-73.6167,55.33,79,100,5.59,CL,2024-04-05
144,center,31.5107,-96.4247,82.8,40,0,10.36,US,2024-04-05
145,tulum,20.2167,-87.4667,87.64,43,2,9.08,MX,2024-04-05
146,sobinka,55.9855,40.0111,33.62,66,1,4.9,RU,2024-04-05
147,haiku-pauwela,20.9219,-156.3051,77.22,69,20,25.32,US,2024-04-05
148,trincomalee,8.5711,81.2335,83.01,74,37,8.34,LK,2024-04-05
149,chibougamau,49.9168,-74.3659,38.52,71,99,12.35,CA,2024-04-05
150,urangan,-25.3,152.9,73.2,97,99,5.99,AU,2024-04-05
151,sanctuary point,-35.1114,150.629,67.32,96,100,23.73,AU,2024-04-05
152,thongwa,16.7619,96.5278,82.56,64,0,3.27,MM,2024-04-05
153,yanchep,-31.55,115.6833,71.62,36,100,5.91,AU,2024-04-05
154,hermanus,-34.4187,19.2345,61.81,66,100,17.38,ZA,2024-04-05
155,ola,59.5833,151.2833,15.13,93,59,6.58,RU,2024-04-05
156,strathalbyn,-35.2667,138.9,56.1,97,35,4.79,AU,2024-04-05
157,arica,-18.475,-70.3042,80.15,57,0,12.66,CL,2024-04-05
158,guasdualito,7.2424,-70.7324,96.22,38,89,6.58,VE,2024-04-05
159,siocon,7.7061,122.1353,79.88,82,100,2.8,PH,2024-04-05
160,oral,51.2333,51.3667,53.58,71,40,4.47,KZ,2024-04-05
161,afaahiti,-17.75,-149.2833,84.07,84,85,10.49,PF,2024-04-05
162,cruzeiro do sul,-29.5128,-51.9853,74.52,84,100,6.69,BR,2024-04-05
163,sur,22.5667,59.5289,80.74,57,0,7.4,OM,2024-04-05
164,gisborne,-38.6533,178.0042,56.25,76,15,7.65,NZ,2024-04-05
165,buala,-8.145,159.5921,80.65,83,98,4.65,SB,2024-04-05
166,eyl,7.9803,49.8164,81.36,71,32,14.16,SO,2024-04-05
167,el fasher,13.6279,25.3494,86.18,13,100,9.46,SD,2024-04-05
168,anadyr,64.75,177.4833,-5.3,77,0,8.95,RU,2024-04-05
169,bayanhongor,46.7167,100.1167,27.63,59,58,4.56,MN,2024-04-05
170,pandan,14.0453,124.1694,78.66,86,72,11.05,PH,2024-04-05
171,brak,27.5496,14.2714,77.16,15,87,13.69,LY,2024-04-05
172,suomussalmi,64.8869,28.9078,21.36,85,100,8.79,FI,2024-04-05
173,minas de marcona,-15.2119,-75.1103,70.81,69,100,18.1,PE,2024-04-05
174,klyuchi,52.2667,79.1667,49.57,68,100,6.46,RU,2024-04-05
175,cabo san lucas,22.8909,-109.9124,84.61,49,75,13.0,MX,2024-04-05
176,tashtagol,52.7657,87.8894,38.52,96,81,1.99,RU,2024-04-05
177,tadine,-21.55,167.8833,75.4,81,63,12.68,NC,2024-04-05
178,tommot,58.9564,126.2925,4.73,98,100,1.68,RU,2024-04-05
179,minab,27.1467,57.0801,75.22,67,0,4.47,IR,2024-04-05
180,shawano,44.7822,-88.609,51.78,32,75,3.44,US,2024-04-05
181,auki,-8.7676,160.7034,77.58,91,70,4.74,SB,2024-04-05
182,tazacorte,28.629,-17.9293,70.77,81,0,1.14,ES,2024-04-05
183,lihue,21.9789,-159.3672,74.79,74,75,21.85,US,2024-04-05
184,saint-philippe,-21.3585,55.7679,78.39,86,20,3.87,RE,2024-04-05
185,wailua homesteads,22.0669,-159.378,74.19,75,75,21.85,US,2024-04-05
186,meulan-en-yvelines,49.0077,1.906,63.28,86,0,5.75,FR,2024-04-05
187,north bend,43.4065,-124.2243,51.26,66,20,0.0,US,2024-04-05
188,papatowai,-46.5619,169.4708,50.83,86,46,10.38,NZ,2024-04-05
189,isokyro,63.0117,22.3333,26.89,86,100,7.47,FI,2024-04-05
190,kariapatti,9.6751,78.0999,86.41,61,0,5.64,IN,2024-04-05
191,baganga,7.5739,126.56,77.14,89,99,3.85,PH,2024-04-05
192,tsiombe,-25.3,45.4833,73.51,89,0,3.24,MG,2024-04-05
193,garbahaarrey,3.3289,42.2209,83.57,68,99,8.63,SO,2024-04-05
194,kapuskasing,49.4169,-82.4331,40.5,76,100,11.27,CA,2024-04-05
195,pangody,65.85,74.4859,7.05,83,90,19.48,RU,2024-04-05
196,gadzhiyevo,69.2551,33.3362,12.2,91,44,11.21,RU,2024-04-05
197,mbandaka,0.0487,18.2603,72.86,97,37,5.59,CD,2024-04-05
198,dudinka,69.4058,86.1778,9.68,93,100,21.99,RU,2024-04-05
199,luanda,-8.8368,13.2343,82.4,83,20,10.36,AO,2024-04-05
200,murun-kuren,49.6342,100.1625,34.52,83,13,5.12,MN,2024-04-05
201,saint-pierre,-21.3393,55.4781,78.48,83,75,2.3,RE,2024-04-05
202,enewetak,11.3474,162.3373,80.47,76,75,19.98,MH,2024-04-05
203,college,64.8569,-147.8028,34.47,86,75,0.0,US,2024-04-05
204,alofi,-19.0595,-169.9187,78.69,89,75,4.61,NU,2024-04-05
205,puerto deseado,-47.7503,-65.8938,64.81,32,100,22.44,AR,2024-04-05
206,san patricio,28.017,-97.5169,87.75,29,3,19.04,US,2024-04-05
207,choibalsan,48.0667,114.5,36.07,56,0,15.73,MN,2024-04-05
208,kuqa,41.7278,82.9364,50.79,46,90,4.92,CN,2024-04-05
209,dauphin,51.1494,-100.0502,49.77,59,100,15.41,CA,2024-04-05
210,am timan,11.0297,20.2827,95.95,28,100,8.43,TD,2024-04-05
211,namibe,-15.1961,12.1522,74.12,75,47,11.12,AO,2024-04-05
212,forster,-32.1667,152.5167,67.37,100,40,5.88,AU,2024-04-05
213,kirakira,-10.4544,161.9205,80.98,86,100,3.69,SB,2024-04-05
214,'ali al gharbi,32.4633,46.6864,83.79,19,0,5.48,IQ,2024-04-05
215,tado,5.266,-76.5649,89.42,47,100,3.47,CO,2024-04-05
216,deuchendorf,47.4649,15.3196,61.68,84,100,2.48,AT,2024-04-05
217,lubang,13.8584,120.124,81.27,81,100,14.88,PH,2024-04-05
218,east london,-33.0153,27.9116,64.56,77,100,8.97,ZA,2024-04-05
219,muisne,0.6,-80.0333,81.88,81,100,8.95,EC,2024-04-05
220,namtsy,62.7161,129.6658,3.81,89,99,7.11,RU,2024-04-05
221,camocim,-2.9022,-40.8411,82.47,84,57,8.72,BR,2024-04-05
222,port macquarie,-31.4333,152.9167,64.89,94,97,5.73,AU,2024-04-05
223,olonkinbyen,70.9221,-8.7187,19.92,63,100,16.67,SJ,2024-04-05
224,nefta,33.8731,7.8777,75.42,24,0,17.34,TN,2024-04-05
225,oak grove,45.4168,-122.6401,51.15,73,75,5.01,US,2024-04-05
226,rio hato,8.3833,-80.1667,89.15,58,40,8.05,PA,2024-04-05
227,codrington,-38.2667,141.9667,53.38,94,100,4.32,AU,2024-04-05
228,takaungu,-3.6837,39.8566,82.11,83,92,11.63,KE,2024-04-05
229,meizhou,24.2977,116.1072,65.43,98,100,2.35,CN,2024-04-05
230,tete,-16.1564,33.5867,86.09,54,99,3.09,MZ,2024-04-05
231,daru,-9.0763,143.2092,79.02,89,100,5.35,PG,2024-04-05
232,bucerias,20.75,-105.3333,75.18,69,20,11.5,MX,2024-04-05
233,starokorsunskaya,45.0573,39.3161,55.72,47,0,8.95,RU,2024-04-05
234,filomeno mata,20.2,-97.7,79.34,51,32,8.08,MX,2024-04-05
235,barntrup,51.9904,9.1164,58.66,85,100,13.33,DE,2024-04-05
236,shingu,33.7333,135.9833,57.13,92,97,5.06,JP,2024-04-05
237,madinat ash shamal,26.1293,51.2009,76.03,51,0,6.76,QA,2024-04-05
238,novyy urgal,51.0736,132.5642,29.03,85,100,1.1,RU,2024-04-05
239,la'ie,21.6477,-157.9253,80.56,72,7,5.99,US,2024-04-05
240,fortuna,40.5982,-124.1573,53.98,76,20,9.22,US,2024-04-05
241,aurillac,44.9167,2.45,58.69,59,100,7.54,FR,2024-04-05
242,kingston,17.997,-76.7936,88.16,72,20,19.57,JM,2024-04-05
243,san carlos de bariloche,-41.1456,-71.3082,64.15,42,0,9.22,AR,2024-04-05
244,suolahti,62.5642,25.8536,25.16,94,100,9.28,FI,2024-04-05
245,cabedelo,-6.9811,-34.8339,88.47,76,14,11.95,BR,2024-04-05
246,wynyard,-41.0,145.7167,55.87,90,100,11.59,AU,2024-04-05
247,st. john's,47.5649,-52.7093,34.16,93,100,11.5,CA,2024-04-05
248,kone,-21.0595,164.8658,74.25,90,94,3.11,NC,2024-04-05
249,igarka,67.4667,86.5833,12.02,93,100,21.99,RU,2024-04-05
250,happy valley-goose bay,53.3168,-60.3315,34.11,75,75,13.8,CA,2024-04-05
251,labytnangi,66.6572,66.4183,-0.62,77,5,15.93,RU,2024-04-05
252,anaconda,46.1285,-112.9423,56.39,40,100,11.68,US,2024-04-05
253,tazovsky,67.4667,78.7,31.46,98,100,22.01,RU,2024-04-05
254,malanje,-9.5402,16.341,67.39,96,100,3.96,AO,2024-04-05
255,sechura,-5.5569,-80.8222,84.13,57,88,12.82,PE,2024-04-05
256,conduaga,8.862,117.4893,76.33,78,71,2.82,PH,2024-04-05
257,mana,5.6592,-53.7767,84.79,67,100,10.22,GF,2024-04-05
258,uturoa,-16.7333,-151.4333,84.13,75,100,9.44,PF,2024-04-05
259,margate,51.3813,1.3862,57.87,72,100,5.01,GB,2024-04-05
260,zhanaozen,43.3,52.8,51.57,76,11,6.33,KZ,2024-04-05
261,shimoda,34.6667,138.95,47.1,87,79,11.68,JP,2024-04-05
262,general acha,-37.377,-64.6043,83.43,20,0,5.68,AR,2024-04-05
263,nemuro,43.3236,145.575,35.01,83,100,10.2,JP,2024-04-05
264,afif,23.9065,42.9172,75.43,45,100,15.32,SA,2024-04-05
265,sao tome,0.3365,6.7273,83.41,76,100,4.72,ST,2024-04-05
266,kourou,5.1552,-52.6478,87.85,64,98,8.57,GF,2024-04-05
267,kerben,40.2951,72.1863,48.7,40,100,3.31,KG,2024-04-05
268,sirte,31.2089,16.5887,63.99,76,21,11.65,LY,2024-04-05
269,port saint john's,-31.6229,29.5448,66.6,86,100,9.19,ZA,2024-04-05
270,"laikit, laikit ii (dimembe)",1.4792,124.9735,74.25,100,40,1.14,ID,2024-04-05
271,pasuquin,18.3328,120.6177,80.55,94,40,2.3,PH,2024-04-05
272,geraldton,-28.7667,114.6,64.81,82,40,3.44,AU,2024-04-05
273,beau vallon,-20.4189,57.6953,77.2,94,75,3.44,MU,2024-04-05
274,castanos,26.7833,-101.4167,80.91,28,100,9.13,MX,2024-04-05
275,isiro,2.7739,27.616,70.03,96,100,2.68,CD,2024-04-05
276,egersund,58.4513,5.9997,41.09,81,100,15.26,NO,2024-04-05
277,basco,20.4487,121.9702,80.8,76,0,15.28,PH,2024-04-05
